CO_UNIDADE,CO_MUNICIPIO_GESTOR,Municipio,Mesoregiao,RegionaldeSaude,NU_CNPJ_MANTENEDORA,NO_FANTASIA,CO_CEP,NU_TELEFONE,NO_EMAIL,CO_ATIVIDADE,CO_TIPO_ESTABELECIMENTO,CO_CONVENIO_SUS,CO_CONVENIO_PARTICULAR,CO_CONVENIO_PLPUB,CO_CONVENIO_PSPRIV
2204157279043.0,220415,Francisco Macedo,Sudeste Piauiense,Vale Do Rio Guaribas,2676031000192.0,LRPD DE FRANCISCO MACEDO,64683000.0,89 34350059,SMSFRANCISCOMACEDO@HOTMAIL.COM,1,1,1,0,0,0
2204204008820.0,220420,Francisco Santos,Sudeste Piauiense,Vale Do Rio Guaribas,,BIODIAGNOSTICO,64645000.0,8934223840,,1,1,1,1,0,0
2204207704615.0,220420,Francisco Santos,Sudeste Piauiense,Vale Do Rio Guaribas,1094665000174.0,LABORATORIO DE PROTESE DENTARIO,64645000.0,,,1,1,1,0,0,0
2204209634932.0,220420,Francisco Santos,Sudeste Piauiense,Vale Do Rio Guaribas,,CENTROLAB,64645000.0,,centrolabfs@gmail.com,1,1,0,1,0,1
2204300845027.0,220430,Fronteiras,Sudeste Piauiense,Vale Do Rio Guaribas,3543912000106.0,LABORATORIO DE PROTESE DENTARIA LAB MASTER,64690000.0,89 99196189,contapicos@hotmail.com,1,1,1,1,0,0
2204302324520.0,220430,Fronteiras,Sudeste Piauiense,Vale Do Rio Guaribas,,LAB DE ANAL CLIN DE FRONTEIRAS LTDA,64690000.0,,,1,0,1,0,0,0
2204307717156.0,220430,Fronteiras,Sudeste Piauiense,Vale Do Rio Guaribas,3543912000106.0,LABORATORIO MUNICIPAL DE PROTESES DENTARIAS,64690000.0,,,1,1,1,0,0,0
2204352913771.0,220435,Geminiano,Sudeste Piauiense,Vale Do Rio Guaribas,1668772000169.0,LABORATORIO VINICIUS BORGES,64613000.0,84 99208906,vinicius-moura123@hotmail.com,1,1,0,1,0,0
2204357509537.0,220435,Geminiano,Sudeste Piauiense,Vale Do Rio Guaribas,1668772000169.0,LRPD GEMINIANO PI,64613000.0,8934260001,,1,1,1,0,0,0
2204500859729.0,220450,Guadalupe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,,LABOCLINICA,64840000.0,89 35521646,laboclinicagua@gmail.com,1,1,1,1,0,0
2204506424015.0,220450,Guadalupe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,,LAB DE ANAL CLIN DE GUADALUPE,64840000.0,,,1,1,1,0,0,0
2204507743793.0,220450,Guadalupe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2042022000140.0,LOBORATORIO REGIONAL DE PROTESE DENTARIA DE GUADALUPE PI,64840000.0,8935521247,SAUDEGDP@YAHOO.COM.BR,1,1,1,0,0,0
2204553420965.0,220455,Guaribas,Sudoeste Piauiense,Serra Da Capivara,3043161000150.0,LRPD DE GUARIBAS,64798000.0,,,1,1,1,0,0,0
2204557323441.0,220455,Guaribas,Sudoeste Piauiense,Serra Da Capivara,3043161000150.0,LABORATORIO DE PROTESE DE GUARIBAS,64798000.0,,,1,1,1,0,0,0
2204607667949.0,220460,Hugo Napoleão,Centro Norte Piauiense,Entre Rios,2889449000188.0,LRPD DE HUGO NAPOLEAO,64470000.0,,,1,1,1,0,0,0
2204654008928.0,220465,Ilha Grande,Norte Piauiense,Planície Litorânea,,LACIG,64224000.0,,,1,1,0,1,0,0
2204707747616.0,220470,Inhuma,Centro Norte Piauiense,Vale Do Sambito,6553739000298.0,LABORATORIO REGIONAL DE PROTESE DENTARIA DE INHUMA PI,64535000.0,,,1,1,1,0,0,0
2204800864285.0,220480,Ipiranga do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,1720262000193.0,LRPD DE IPIRANGA DO PIAUI,64540000.0,,,1,1,1,0,0,0
2204807090102.0,220480,Ipiranga do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,,CLINDILABOR,64540000.0,89 3440 1098,dalilanogueira3@hotmail.com,1,1,0,1,0,0
2204807284535.0,220480,Ipiranga do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,1720262000193.0,LABORATORIO DE PROTESE DENTARIO,64540000.0,,,1,1,1,0,0,0
2204900475270.0,220490,Isaías Coelho,Sudeste Piauiense,Vale Do Canindè,933730000145.0,LRPD DE ISAIAS COELHO,64570000.0,,,1,1,1,0,0,0
2205006570119.0,220500,Itainópolis,Sudeste Piauiense,Vale Do Rio Guaribas,,LABOFLOR,64565000.0,,,1,1,0,1,0,0
2205009235663.0,220500,Itainópolis,Sudeste Piauiense,Vale Do Rio Guaribas,,SORRISO BOM,64565000.0,89 34220000,contapicos@hotmail.com,1,1,1,0,0,0
2205100755567.0,220510,Itaueira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,,LABOFLOR,64820000.0,89 99426521,zebrunofiIhohotmaiI.com e udilabofIorhotmaiI.com,1,1,1,1,0,0
2205102766892.0,220510,Itaueira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,,LAB ANAL CL ENEAS MAIA NETO LABOFLOR,64820000.0,,,1,1,1,1,0,0
2205157281595.0,220515,Jacobina do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,2737969000175.0,LRPD LABORATORIO REGIONAL DE PROTESE DENTARIO,64755000.0,8934881149,saudejacobina@hotmail.com,1,1,1,0,0,0
2205200825166.0,220520,Jaicós,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO DE PROTESE DENTARIA PRODENTE,64575000.0,89 99346627,naiararyan28@gmail.com,1,2,0,2,0,0
2205257369239.0,220525,Jardim do Mulato,Centro Norte Piauiense,Entre Rios,1825794000195.0,LRPD DE JARDIM DO MULATO PIAUI,64495000.0,,,1,1,1,0,0,0
2205277287100.0,220527,Jatobá do Piauí,Centro Norte Piauiense,Carnaubais,2406316000103.0,LABORATORIO REGIONAL DE PROTESE DENTARIA LRPD,64275000.0,8632660015,smsaude.jatoba@bol.com.br,1,1,1,0,0,0
2205357274858.0,220535,João Costa,Sudeste Piauiense,Serra Da Capivara,1612580000130.0,LABORATORIO DE PROTESES DENTARIA JOAO COSTA PI,64765000.0,89 3486-0036,smsjoaocosta@gmail.com,1,1,1,0,0,0
2205450984647.0,220545,Joca Marques,Norte Piauiense,Cocais,1612677000143.0,LABORATORIO DE PROTESE DENTARIA DE JOCA MARQUES,64165000.0,86981923882,smsaudejocamarques@hotmail.com,1,1,1,0,0,0
2205457277644.0,220545,Joca Marques,Norte Piauiense,Cocais,1612677000143.0,LRPD DE JOCA MARQUES,64165000.0,,,1,1,1,0,0,0
2205500885649.0,220550,José de Freitas,Centro Norte Piauiense,Entre Rios,,LAB CLINICA SAUDE,64110000.0,86 98239452,,1,1,0,1,0,0
2205503466329.0,220550,José de Freitas,Centro Norte Piauiense,Entre Rios,,LABORATORIO NOSSA SENHORA DO LIVRAMENTO,64110000.0,86 3264 2524,,1,1,0,1,0,0
2205519977341.0,220551,Juazeiro do Piauí,Centro Norte Piauiense,Carnaubais,2254640000153.0,LRPD DE JUAZEIRO DO PIAUI,64343000.0,,,1,1,1,0,0,0
2205527273428.0,220552,Júlio Borges,Sudoeste Piauiense,Chapada Das Mangabeiras,2834429000100.0,LABORARTORIO DE PROTESE DENTARIA,64963000.0,,,1,1,1,0,0,0
2205530869872.0,220553,Jurema,Sudoeste Piauiense,Serra Da Capivara,1612585000163.0,LRPD DE JUREMA,64782000.0,89981008346,,1,1,1,0,0,0
2205540813737.0,220554,Lagoinha do Piauí,Centro Norte Piauiense,Entre Rios,2970115000134.0,LABORATORIO DE PROTESES DE LAGOINHA DO PIAUI,64465000.0,,,1,1,1,0,0,0
2205549550895.0,220554,Lagoinha do Piauí,Centro Norte Piauiense,Entre Rios,2970115000134.0,LRPD DE LAGOINHA DO PIAUI,64465000.0,,,1,1,1,0,0,0
2205567036191.0,220556,Lagoa do Barro do Piauí,Sudeste Piauiense,Serra Da Capivara,1966908000117.0,LRPD LABORATORIO REGIONAL DE PROTESE DENTARIA,64768000.0,,,1,1,1,0,0,0
2205577279426.0,220557,Lagoa de São Francisco,Centro Norte Piauiense,Cocais,3056303000114.0,LRPD DE LAGOA DE SAO FRANCISCO,64258000.0,,smslsfrancisco@yahoo.com.br,1,1,1,0,0,0
2205587420064.0,220558,Lagoa do Piauí,Centro Norte Piauiense,Entre Rios,1933070000165.0,LABORATORIO DE PROTESE DENTARIO DE LAGOA DO PIAUI,64388000.0,86 32591178,saudelagodopiaui@bol.com.br,1,1,1,0,0,0
2205592869314.0,220559,Lagoa do Sítio,Centro Norte Piauiense,Vale Do Sambito,,DENT LAB AS,64308000.0,89 99212302,sousaalderi@gmail.com,1,1,0,1,0,0
2205597313764.0,220559,Lagoa do Sítio,Centro Norte Piauiense,Vale Do Sambito,2930943000149.0,LRPD LAGOA DO SITIO,64308000.0,8934671102,smslagoadositio@yaoo.com.br,1,1,1,0,0,0
2205607681828.0,220560,Landri Sales,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1856060000173.0,LRPD DE LANDRI SALES,64850000.0,,smslandrisales@gmail.com,1,1,1,0,0,0
2205702366177.0,220570,Luís Correia,Norte Piauiense,Planície Litorânea,2388030000142.0,CIS DE LUIS CORREIA,64220000.0,(86)3671211,,1,1,1,0,0,0
2205800877050.0,220580,Luzilândia,Norte Piauiense,Cocais,1761198000199.0,LRPD DE LUZILANDIA,64160000.0,,,1,1,1,0,0,0
2205802936828.0,220580,Luzilândia,Norte Piauiense,Cocais,1761198000199.0,LABORATORIO CLINILAB,64160000.0,,,1,1,1,0,0,0
2205809883657.0,220580,Luzilândia,Norte Piauiense,Cocais,,LABOARTE,64160000.0,86 33931400,carlos.henrick.ch82@gmail.com,1,1,0,1,0,0
2205907849400.0,220590,Manoel Emídio,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,6554125000220.0,LRPD DE MANOEL EMIDIO,64875000.0,(89) 35351281,saudemepi@hotmail.com,1,1,1,0,0,0
2205953595935.0,220595,Marcolândia,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO SAO CRISTOVAO,64685000.0,,,1,1,0,1,0,0
2205959219528.0,220595,Marcolândia,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO COUTINHO,64685000.0,89 94043850,,1,1,1,1,0,0
2206057279590.0,220605,Massapê do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,1696914000100.0,LRPD MASSAPE DO PIAUI,64573000.0,,smsmassape@saude.pi.gov.br,1,1,1,0,0,0
2206200492698.0,220620,Miguel Alves,Norte Piauiense,Entre Rios,6553614000500.0,LRPD DE MIGUEL ALVES,64130000.0,,,1,1,1,0,0,0
2206307277601.0,220630,Miguel Leão,Centro Norte Piauiense,Entre Rios,6554935000104.0,LRPD DE MIGUEL LEAO,64445000.0,,,1,1,1,0,0,0
2206357372795.0,220635,Milton Brandão,Centro Norte Piauiense,Cocais,2742326000110.0,LRPD DE MILTON BRANDAO,64253000.0,8632810028,smsmbrandao@ig.com.br,1,1,1,0,0,0
2206407268548.0,220640,Monsenhor Gil,Centro Norte Piauiense,Entre Rios,6554877000534.0,LRPD DE MONSENHOR GIL,64450000.0,,sms.mgil@gmail.com,1,1,1,0,0,0
2206507326246.0,220650,Monsenhor Hipólito,Sudeste Piauiense,Vale Do Rio Guaribas,2221933000134.0,LRPD MONSENHOR HIPOLITO,64650000.0,(89) 3433-1280,smsmonshipolito05@yahoo.com.br,1,1,1,0,0,0
2206609668829.0,220660,Monte Alegre do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,6554232000178.0,LABORATORIO DE PROTESE DENTARIA DE MONTE ALEGRE DO PIAUI,64940000.0,,,1,1,1,0,0,0
2206657984707.0,220665,Morro Cabeça no Tempo,Sudoeste Piauiense,Chapada Das Mangabeiras,2742341000168.0,LRPD DE MORRO CABECA NO TEMPO,64968000.0,,,1,1,1,0,0,0
2206697407912.0,220669,Murici dos Portelas,Norte Piauiense,Planície Litorânea,1612596000143.0,LABORATORIO DE PROTESE DENTARIA DE MURICI DOS PORTELAS,64175000.0,,,1,1,1,0,0,0
2206707280610.0,220670,Nazaré do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1825779000147.0,LRPD DE NAZARE DO PIAUI,64825000.0,,,1,1,1,0,0,0
2206727469535.0,220672,Nazária,Centro Norte Piauiense,Entre Rios,10560403000491.0,LABORATORIO DE PROTESE DE NAZARIA,64415000.0,,,1,1,1,0,0,0
2206757704372.0,220675,Nossa Senhora de Nazaré,Centro Norte Piauiense,Carnaubais,1612592000165.0,LABORATORIO DE PROTESE DE NOSSA SENHORA DE NAZARE,64288000.0,,,1,1,1,0,0,0
2206909013520.0,220690,Novo Oriente do Piauí,Centro Norte Piauiense,Vale Do Sambito,6554836000114.0,LRPD NOVO ORIENTE DO PIAUI,64530000.0,,,1,1,1,0,0,0
2206957336314.0,220695,Novo Santo Antônio,Centro Norte Piauiense,Carnaubais,2699179000142.0,LABORATORIO DE PROTESE JOSE VITORIO,64365000.0,,,1,1,1,0,0,0
2207002324105.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,ANALISA LABORATORIO CLINICO,64500000.0,(89)34621487,carvalhoevandro@hotmail.com,1,1,1,1,0,0
2207002324318.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,CENTRO DE ENDOSCOPIA DE OEIRAS SC,64500000.0,(89) 34621709,,1,1,1,1,0,0
2207002490714.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,CLINICA OEIRENSE,64500000.0,(89) 3462 2416,,1,1,1,1,0,0
2207003333353.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,CLINICA MATERNO INFANTIL DE OEIRAS,64500000.0,(89)34622540,,1,1,1,1,0,1
2207003542564.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,CITOLAB,64500000.0,89 34621076,citolab.oeiras@hotmail.com,1,1,1,1,0,0
2207004009347.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,BIOCENTER LABORATORIO CLINICO,64500000.0,(89)3462 4517,cassiomcarmo@hotmail.com,1,1,1,0,0,0
2207005871409.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,SID SERVICOS DE IMAGEM E DIAGNOSTICO,64500000.0,8934624441,sidtac01@gmail.com,1,1,2,2,0,0
2207006891535.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,LABORATORIO DE PROTESE DENTARIA,64500000.0,8934621720,,1,1,0,1,0,0
2207009211659.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,IRIS LAB,64500000.0,89994048513,,1,1,0,1,0,0
2207009211780.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,,LABORATORIO DE PROTESE DENTARIA ARTESTETICA,64500000.0,89994080978,,1,1,0,1,0,0
2207009328041.0,220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,6553937000170.0,NUCLEO DE APOIO AO DIAGNOSTICO DAS DOENCAS ENDEMICAS,64500000.0,8934621225,SMSOEIRAS@SAUDE.PI.GOV.BR,1,1,1,0,0,0
2207100929778.0,220710,Olho D'Água do Piauí,Centro Norte Piauiense,Entre Rios,1612595000107.0,LRPD DE OLHO DAGUA DO PIAUI,64468000.0,,smsolhodaguapi@gmail.com,1,1,1,0,0,0
2207207279612.0,220720,Padre Marcos,Sudeste Piauiense,Vale Do Rio Guaribas,1920440000120.0,LRPD PADRE MARCOS PI,64680000.0,,,1,1,1,0,0,0
2207302975750.0,220730,Paes Landim,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1658614000128.0,LRPD PAES LANDIM,64710000.0,,,1,1,1,0,0,0
2207357967241.0,220735,Pajeú do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1612602000162.0,LRPD DE PAJEU DO PIAUI,64898000.0,8935320105,smspajeu@gmail.com,1,1,1,0,0,0
2207400071943.0,220740,Palmeira do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,851855000126.0,LRPD DE PALMEIRA DO PIAUI,64925000.0,,,1,2,2,0,0,0
2207500649422.0,220750,Palmeirais,Centro Norte Piauiense,Entre Rios,1717105000129.0,LRPD DE PALMEIRAIS,64420000.0,,,1,1,1,0,0,0
2207506933076.0,220750,Palmeirais,Centro Norte Piauiense,Entre Rios,,LABIMAGEM,64420000.0,,,1,1,0,1,0,0
2207557275056.0,220755,Paquetá,Sudeste Piauiense,Vale Do Rio Guaribas,2389819000118.0,LABORATORIO DE PROTESE DENTARIA DE PAQUETA,64618000.0,(89)34240041,sms.paquetapi@hotmail.com,1,1,1,0,0,0
2207602694379.0,220760,Parnaguá,Sudoeste Piauiense,Chapada Das Mangabeiras,,LUNAR LABORATORIO,64970000.0,(89)5721212,,1,1,0,1,0,0
2207602928612.0,220760,Parnaguá,Sudoeste Piauiense,Chapada Das Mangabeiras,,CLINICA PARNAGUA,64970000.0,89 81226800,junior.campel@gmail.com,1,1,0,1,0,0
2207603076253.0,220760,Parnaguá,Sudoeste Piauiense,Chapada Das Mangabeiras,,CLINICA NOVA SAUDE,64970000.0,89 81238099,,1,1,0,1,0,0
2207700049425.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,ALDELAB DIAGNOSTICOS,64200280.0,86 32218093,exata-contabilidade@oi.com.br,1,1,0,1,0,1
2207700056251.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,DIAGNOSTICO II CLINICA DE IMAGEM,64200490.0,86 33229830,,1,1,0,1,0,1
2207700447811.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CER IV PARNAIBA,64217380.0,86 32320353,adersonreabilitar@gmail.com,1,1,1,0,0,0
2207700520047.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LAPAC PARNAIBA,64200200.0,86 32219141,exata-contabilidade@oi.com.br,1,1,1,1,0,0
2207700850004.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO MEIRELLES,64200280.0,86 94088999,,1,1,1,1,0,0
2207702323060.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,ENDOCLINICA,64218680.0,(86)3211992,,1,1,1,1,0,0
2207702323214.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO ANALISES CLINICAS SAO VICENTE,64200280.0,(86)3221415,serconrel@bol.com.br,1,1,2,2,0,0
2207702323648.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CLINICA PASTEUR,64200280.0,(86)3222483,clinicapasteurlab@hotmail.com,1,1,1,1,0,0
2207702323656.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO ARAUJO,64200410.0,(86)33212995,araujolab@ig.com.br,1,1,1,1,0,0
2207702323672.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABOCLINICA,64200280.0,(86)3224300,,1,1,1,1,0,0
2207702324229.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CENTRO FISIOT E REAB ARMANDO CAJUBA,64202060.0,(86)3224279,,1,1,1,0,0,0
2207702324296.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO MEIRELES,64200270.0,86 33221124,,1,1,1,1,0,0
2207702324326.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,BIO MED,64200200.0,(86)3223115,,1,1,1,1,0,0
2207702324342.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CLINICA DR CHAGAS ARAGAO,64200290.0,(86)3222679,,1,1,1,1,0,0
2207702324350.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CENTROCLINICA,64200200.0,(86)3212200,,1,1,1,1,0,0
2207702324539.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO OSWALDO CRUZ,64200280.0,(86)3224084,,1,1,1,1,0,0
2207702364956.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO VITAL BRASIL,64200280.0,(86)3211414,,1,1,1,1,0,0
2207702364964.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,ENDOGASTRO,64200361.0,86 33222850,,1,1,1,1,0,0
2207702443724.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,RAD IMAGEM,64218570.0,(86)3212971,,1,0,1,1,0,0
2207702443732.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CLINICA ARMANDO CAJUBA,64200907.0,(86)3221917,clinicaarmandocajuba@hotmail.com,1,1,1,1,0,0
2207703220451.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CEPACC,64200280.0,(86)3211955,,1,1,1,1,0,0
2207703295222.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CLINICA DE IMAGEM DIAGNOSTICO,64200907.0,(86)3211001,,1,1,1,1,0,0
2207703469875.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO DE ANALISES CLINICAS ESP DE PARNAIBA LTDA,64200280.0,(86)3211929,,1,1,1,0,0,0
2207703542556.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,MARCOR MAXIMO ATENDIMENTO E RECUPERACAO CORPORAL,64200370.0,86 88443720,cacaregobarros@hotmail.com,1,1,1,1,0,0
2207703563049.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,FISIOCLINICA DE PARNAIBA,64200200.0,(86)33239999,,1,0,0,1,0,0
2207705206197.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO DE ANALISES CLINICAS DR VALDIR MATOS LTDA,64215180.0,86-33268138,,1,0,0,1,1,1
2207705315190.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CEMEPA,64218310.0,86 33221197,,1,1,0,2,0,0
2207706223966.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,TEC LAB,64200200.0,86 3321 1136,,1,1,1,1,0,0
2207706754139.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO DIAGNOSTICO,64200490.0,(86) 3321-2622,,1,1,1,1,0,0
2207706777767.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,ODONTO DIAGNOSTICO,64200200.0,86 3321 3206,,1,1,0,1,0,1
2207706951589.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,ARTCERAM,64200420.0,(86)3322-3571,,1,1,1,0,0,0
2207707155433.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LINHARES DIAGNOSTICO,64202020.0,,,1,1,0,1,0,1
2207709094261.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO MED ANALISES,64200200.0,86 33212738,,1,1,1,1,0,1
2207709105581.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,LABORATORIO MENESES,64200460.0,86 88513155,,1,1,0,1,0,1
2207709280545.0,220770,Parnaíba,Norte Piauiense,Planície Litorânea,,CITOMED,64218375.0,86 94875021,,1,1,0,0,0,1
2207757276923.0,220775,Passagem Franca do Piauí,Centro Norte Piauiense,Entre Rios,2449672000104.0,LRPD DE PASSAGEM FRANCA DO PIAUI,64395000.0,8632831284,passagemfranca@bol.com.br,1,1,1,0,0,0
2207777326599.0,220777,Patos do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,41522285000108.0,LRPD DE PATOS,64580000.0,8934591158,SMSPATOSPI@YAHOO.COM.BR,1,1,1,0,0,0
2207797281919.0,220779,Pau D'Arco do Piauí,Centro Norte Piauiense,Entre Rios,4314624000134.0,LRPD DE PAU DARCO,64295000.0,,,1,1,1,0,0,0
2207802314835.0,220780,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,2433931000109.0,LABORATORIO MUNICIPAL,64750000.0,,smspaulistana-pi@hotmail.com,1,1,1,0,0,0
2207803024202.0,220780,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,,BETESDA LABORATORIO DE ANALISES CLINICAS,64750000.0,(89) 4871777,,1,1,1,1,0,1
2207806893902.0,220780,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO ROCHA,64750000.0,,,1,1,1,1,0,0
2207807873719.0,220780,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,,ODONTOMED,64750000.0,89994047772,manupessoa@ymayl.com,1,1,0,1,0,0
2207850047430.0,220785,Pavussu,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1612679000132.0,LABORATORIO REGIONAL DE PROTESE DENTARIA DE PAVUSSU LRPD,64838000.0,,,1,1,1,0,0,0
2207900768383.0,220790,Pedro II,Centro Norte Piauiense,Cocais,,V C DE MELO,64255000.0,86 99186970,veridianomelo@bol.com.br,1,1,0,1,0,0
2207906222684.0,220790,Pedro II,Centro Norte Piauiense,Cocais,,LABOCLINICA,64255000.0,,,1,1,1,1,0,0
2207906797369.0,220790,Pedro II,Centro Norte Piauiense,Cocais,,LABORATORIO DE ANALISES CLINICA SANTA MARIA,64255000.0,,,1,1,0,1,0,0
2207907167083.0,220790,Pedro II,Centro Norte Piauiense,Cocais,,LABORATORIO DE PROTESE DENTARIA LOURO PAIXAO,64255000.0,86 81137181,,1,1,0,1,0,0
2207937265360.0,220793,Pedro Laurentino,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1944247000129.0,LRPD LABORATORIO REGIONAL DE PROTESE DENTARIA,64728000.0,8934790002,,1,1,1,0,0,0
2207957687990.0,220795,Nova Santa Rita,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1742695000140.0,LRPD NOVA SANTA RITA PI,64764000.0,,,1,1,1,0,0,0
2208002324482.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,LAMEP,64600094.0,(86)3422-2765,,1,1,1,1,0,0
2208002324490.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO DE ANALISES CLINICAS DE PICOS MARIA NEIDE,64603260.0,8934221810,,1,1,0,1,0,0
2208002365421.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,CLIGAPI,64600000.0,(89)34223108,,1,0,1,0,0,1
2208002365464.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO DE ANAL CLIN ROSEMARY REIS ANTAO,64600054.0,(86)34222094,,1,1,1,1,0,0
2208002365472.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,LAGEAC LABORATORIO GERAL DE ANALISES CLINICAS,64600094.0,(86)34221925,,1,1,0,1,0,0
2208002694107.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,PRODIAGNOSE SC,64600094.0,(89) 4221534,,1,1,0,1,0,0
2208002694255.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,CLINPREVENCAN,64600132.0,(86)4221194,,1,1,0,1,0,0
2208002694352.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO PICOENSE DE ANALISES CLINICAS EDVARTON,64600106.0,(86)4221627,,1,1,1,1,0,0
2208002694360.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,LABORATORIO WALDEMAR DE MOURA SANTOS,64600000.0,(89)34222412,,1,0,1,1,0,1
2208002694611.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,CENTRO DE ENDOSCOPIA DE PICOS,64600138.0,(89)34221935,,1,1,0,1,0,0
2208002694638.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,,CEPAC IMAGEM,64600094.0,8934223019,,1,1,1,1,0,1
2208002694662.0,220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,1632094000184.0,CENTRO DE TESTAGEM E ACONSELHAMENTO EM DST AIDS,64600104.0,(89)4154252,,1,1,1,0,0,0
